priority,name,lifeDates,artworkCount,slug,status,note
"131","José Lanzaro","1920-2004","7","jose-lanzaro","necesita imagen",""
"132","Luis A. Fayol","1904-1965","7","luis-a-fayol","necesita imagen",""
"133","Manuel Correa","1864-1910","7","manuel-correa","necesita imagen",""
"134","María Rosa De Ferrari","1899-1982","7","maria-rosa-de-ferrari","necesita imagen",""
"135","Mariano Barbasán Lagueruela","1864-1924","7","mariano-barbasan-lagueruela","necesita imagen",""
"136","Rafael Borella","1874-1953","7","rafael-borella","necesita imagen",""
"137","Salustiano Pintos","1905-1975","7","salustiano-pintos","necesita imagen",""
"138","Víctor L. Rebufo","1903-1983","7","victor-l-rebufo","necesita imagen",""
"139","Adolfo Halty","1915-1974","6","adolfo-halty","necesita imagen",""
"140","Alfredo Eugenio Berta","1895-1974","6","alfredo-eugenio-berta","necesita imagen",""
"141","André Beaudin","1895-1979","6","andre-beaudin","necesita imagen",""
"142","Andrés Feldmann","1921-1978","6","andres-feldmann","necesita imagen",""
"143","Antonio Andivero","1934-2017","6","antonio-andivero","necesita imagen",""
"144","Armando Germinal González","1912-1981","6","armando-germinal-gonzalez","necesita imagen",""
"145","Carmelo Rivello","1901-1944","6","carmelo-rivello","necesita imagen",""
"146","Eduardo A. Larrarte","1914-2005","6","eduardo-a-larrarte","necesita imagen",""
"147","Gilles de La Tourette","","6","gilles-de-la-tourette","necesita imagen",""
"148","Gonzalo Fonseca","1922-1997","6","gonzalo-fonseca","necesita imagen",""
"149","Humberto Frangella","1904-1965","6","humberto-frangella","necesita imagen",""
"150","Juan Fernando Vieytes Pérez","1916-1962","6","juan-fernando-vieytes-perez","necesita imagen",""
"151","Leandro Silva Delgado","1930-2000","6","leandro-silva-delgado","necesita imagen",""
"152","Luis Camnitzer","1937-","6","luis-camnitzer","necesita imagen",""
"153","Mauricio Flores Kaperotxipi","1901-1997","6","mauricio-flores-kaperotxipi","necesita imagen",""
"154","Miguel Ocampo","1922-2015","6","miguel-ocampo","necesita imagen",""
"155","Nicolás-François Octave Tassaert","1800-1874","6","nicolas-francois-octave-tassaert","necesita imagen",""
"156","Pablo Picasso","1881-1973","6","pablo-picasso","necesita imagen",""
"157","Raúl Zaffaroni","1917-2011","6","raul-zaffaroni","necesita imagen",""
"158","Rómulo Chiessa","1899-1965","6","romulo-chiessa","necesita imagen",""
"159","Sebastián Moncalvi","1902-1974","6","sebastian-moncalvi","necesita imagen",""
"160","Suzanne Roger","1898-1986","6","suzanne-roger","necesita imagen",""
"161","Adela Caballero","1930-","5","adela-caballero","necesita imagen",""
"162","Alberto Marino Gahn","1900-1978","5","alberto-marino-gahn","necesita imagen",""
"163","Antonio Saura","1930-1998","5","antonio-saura","necesita imagen",""
"164","Carlos Grethe","1864-1913","5","carlos-grethe","necesita imagen",""
"165","Carlos María Tonelli","1937-2011","5","carlos-maria-tonelli","necesita imagen",""
"166","Daniel Sabater","1888-1951","5","daniel-sabater","necesita imagen",""
"167","Dolcey Schenone Puig","1896-1952","5","dolcey-schenone-puig","necesita imagen",""
"168","Elizabeth Thompson","1930-2010","5","elizabeth-thompson","necesita imagen",""
"169","Enrique Donati","1865-1947","5","enrique-donati","necesita imagen",""
"170","Giancarlo Puppo","1938-","5","giancarlo-puppo","necesita imagen",""
"171","Horacio Torres","1924-1976","5","horacio-torres","necesita imagen",""
"172","Javier Nieva","1915-1999","5","javier-nieva","necesita imagen",""
"173","José Echave","1921-1985","5","jose-echave","necesita imagen",""
"174","Juan Boris Gurewitsch","1909-1996","5","juan-boris-gurewitsch","necesita imagen",""
"175","Juan Sciutto","1898-1973","5","juan-sciutto","necesita imagen",""
"176","Liliana Porter","1941-","5","liliana-porter","necesita imagen",""
"177","Mariano Felez","1883-1940","5","mariano-felez","necesita imagen",""
"178","Miguel Ángel Battegazzore","1931-2024","5","miguel-angel-battegazzore","necesita imagen",""
"179","Noelia Fierro","1934-","5","noelia-fierro","necesita imagen",""
"180","Orestes Acquarone","1875-1952","5","orestes-acquarone","necesita imagen",""
"181","Paul Gauguin","1848-1903","5","paul-gauguin","necesita imagen",""
"182","Paul Wunderlich","1927-","5","paul-wunderlich","necesita imagen",""
"183","Renée Olivier","","5","renee-olivier","necesita imagen",""
"184","Roberto Castellanos","1871-1942","5","roberto-castellanos","necesita imagen",""
"185","Vicente Puig","1882-1965","5","vicente-puig","necesita imagen",""
"186","Víctor Lema Riqué","1955-","5","victor-lema-rique","necesita imagen",""
"187","Alejandro M. Romei Dima","1908-","4","alejandro-m-romei-dima","necesita imagen",""
"188","Alicia Mihai Gazcue","1949-","4","alicia-mihai-gazcue","necesita imagen",""
"189","Amalia Polleri","1909-1996","4","amalia-polleri","necesita imagen",""
"190","Andrés Montani","1918-2002","4","andres-montani","necesita imagen",""
"191","Angel Ricardo Scagliola","1918-","4","angel-ricardo-scagliola","necesita imagen",""
"192","Asger Jorn","1914-1973","4","asger-jorn","necesita imagen",""
"193","Augusto Torres","1913-1992","4","augusto-torres","necesita imagen",""
"194","Barthelemy Lauvergne","1805-1871","4","barthelemy-lauvergne","necesita imagen",""
"195","Bronislao José Tokarz","1907-1984","4","bronislao-jose-tokarz","necesita imagen",""
"196","Carlos Ramón Masini","1873-1939","4","carlos-ramon-masini","necesita imagen",""
"197","Dante Contestábile","1904-1939","4","dante-contestabile","necesita imagen",""
"198","David Alfaro Siqueiros","1896-1974","4","david-alfaro-siqueiros","necesita imagen",""
"199","Donato Di Lorenzo","1852-1937","4","donato-di-lorenzo","necesita imagen",""
"200","Eduardo Díaz Yepes","1909-1979","4","eduardo-diaz-yepes","necesita imagen",""
"201","Emilio Mas","1860-1928","4","emilio-mas","necesita imagen",""
"202","Francisco L. Musetti","1881-1976","4","francisco-l-musetti","necesita imagen",""
"203","Gaetano Parpagnoli","1869-1924","4","gaetano-parpagnoli","necesita imagen",""
"204","Gervasio Furest","1893-1968","4","gervasio-furest","necesita imagen",""
"205","Gladys Afamado","1925-2024","4","gladys-afamado","necesita imagen",""
"206","Glauco Capozzoli","1929-2003","4","glauco-capozzoli","necesita imagen",""
"207","Guiscardo Améndola","1906-1972","4","guiscardo-amendola","necesita imagen",""
"208","Gustavo Alamón Da Rosa","1935-2020","4","gustavo-alamon-da-rosa","necesita imagen",""
"209","Hector Escardó","1866-1896","4","hector-escardo","necesita imagen",""
"210","Henri Matisse","1869-1954","4","henri-matisse","necesita imagen",""
"211","Hugo Longa","1934-1990","4","hugo-longa","necesita imagen",""
"212","Hugo Nantes","1933-2009","4","hugo-nantes","necesita imagen",""
"213","José Enrique Bravo","1901-1944","4","jose-enrique-bravo","necesita imagen",""
"214","Josep Hurtuna","1913-1978","4","josep-hurtuna","necesita imagen",""
"215","Juan Antonio Torrents","1915-","4","juan-antonio-torrents","necesita imagen",""
"216","Julio Alpuy","1919-2009","4","julio-alpuy","necesita imagen",""
"217","Julio Le Parc","1928-","4","julio-le-parc","necesita imagen",""
"218","Leopoldo Nóvoa","1919-2012","4","leopoldo-novoa","necesita imagen",""
"219","Lily Salvo","1928-2010","4","lily-salvo","necesita imagen",""
"220","Luis Alberto Gentieu Piotti","1909-","4","luis-alberto-gentieu-piotti","necesita imagen",""
"221","Luis Ernesto Aroztegui","1930-1994","4","luis-ernesto-aroztegui","necesita imagen",""
"222","Luis Maristany","1885-1964","4","luis-maristany","necesita imagen",""
"223","Luis Queirolo Repetto","1862-1947","4","luis-queirolo-repetto","necesita imagen",""
"224","Margarita Fabini de Camou","","4","margarita-fabini-de-camou","necesita imagen",""
"225","Mario César Pérez Cassia","1909-","4","mario-cesar-perez-cassia","necesita imagen",""
"226","Mario Lorieto","1919-2003","4","mario-lorieto","necesita imagen",""
"227","Máximo Alberto Lamela","1918-","4","maximo-alberto-lamela","necesita imagen",""
"228","Miguel Benzo","1879-1966","4","miguel-benzo","necesita imagen",""
"229","Nelsa Solano Gorga","1921-1984","4","nelsa-solano-gorga","necesita imagen",""
"230","Ofelia Oneto y Viana","1929-2019","4","ofelia-oneto-y-viana","necesita imagen",""
"231","Paul Berne","1924-","4","paul-berne","necesita imagen",""
"232","Plinio Baptista Brum","1892-","4","plinio-baptista-brum","necesita imagen",""
