priority,name,lifeDates,artworkCount,slug,status,note
"135","Humberto Frangella","1904-1965","6","humberto-frangella","necesita imagen",""
"136","Juan Fernando Vieytes Pérez","1916-1962","6","juan-fernando-vieytes-perez","necesita imagen",""
"137","Leandro Silva Delgado","1930-2000","6","leandro-silva-delgado","necesita imagen",""
"138","Luis Camnitzer","1937-","6","luis-camnitzer","necesita imagen",""
"139","Mauricio Flores Kaperotxipi","1901-1997","6","mauricio-flores-kaperotxipi","necesita imagen",""
"140","Miguel Ocampo","1922-2015","6","miguel-ocampo","necesita imagen",""
"141","Nicolás-François Octave Tassaert","1800-1874","6","nicolas-francois-octave-tassaert","necesita imagen",""
"142","Pablo Picasso","1881-1973","6","pablo-picasso","necesita imagen",""
"143","Raúl Zaffaroni","1917-2011","6","raul-zaffaroni","necesita imagen",""
"144","Rómulo Chiessa","1899-1965","6","romulo-chiessa","necesita imagen",""
"145","Sebastián Moncalvi","1902-1974","6","sebastian-moncalvi","necesita imagen",""
"146","Suzanne Roger","1898-1986","6","suzanne-roger","necesita imagen",""
"147","Adela Caballero","1930-","5","adela-caballero","necesita imagen",""
"148","Alberto Marino Gahn","1900-1978","5","alberto-marino-gahn","necesita imagen",""
"149","Antonio Saura","1930-1998","5","antonio-saura","necesita imagen",""
"150","Carlos Grethe","1864-1913","5","carlos-grethe","necesita imagen",""
"151","Carlos María Tonelli","1937-2011","5","carlos-maria-tonelli","necesita imagen",""
"152","Daniel Sabater","1888-1951","5","daniel-sabater","necesita imagen",""
"153","Dolcey Schenone Puig","1896-1952","5","dolcey-schenone-puig","necesita imagen",""
"154","Elizabeth Thompson","1930-2010","5","elizabeth-thompson","necesita imagen",""
"155","Enrique Donati","1865-1947","5","enrique-donati","necesita imagen",""
"156","Giancarlo Puppo","1938-","5","giancarlo-puppo","necesita imagen",""
"157","Horacio Torres","1924-1976","5","horacio-torres","necesita imagen",""
"158","Javier Nieva","1915-1999","5","javier-nieva","necesita imagen",""
"159","José Echave","1921-1985","5","jose-echave","necesita imagen",""
"160","Juan Boris Gurewitsch","1909-1996","5","juan-boris-gurewitsch","necesita imagen",""
"161","Juan Sciutto","1898-1973","5","juan-sciutto","necesita imagen",""
"162","Liliana Porter","1941-","5","liliana-porter","necesita imagen",""
"163","Mariano Felez","1883-1940","5","mariano-felez","necesita imagen",""
"164","Miguel Ángel Battegazzore","1931-2024","5","miguel-angel-battegazzore","necesita imagen",""
"165","Noelia Fierro","1934-","5","noelia-fierro","necesita imagen",""
"166","Orestes Acquarone","1875-1952","5","orestes-acquarone","necesita imagen",""
"167","Paul Gauguin","1848-1903","5","paul-gauguin","necesita imagen",""
"168","Paul Wunderlich","1927-","5","paul-wunderlich","necesita imagen",""
"169","Renée Olivier","","5","renee-olivier","necesita imagen",""
"170","Roberto Castellanos","1871-1942","5","roberto-castellanos","necesita imagen",""
"171","Vicente Puig","1882-1965","5","vicente-puig","necesita imagen",""
"172","Víctor Lema Riqué","1955-","5","victor-lema-rique","necesita imagen",""
"173","Alejandro M. Romei Dima","1908-","4","alejandro-m-romei-dima","necesita imagen",""
"174","Alicia Mihai Gazcue","1949-","4","alicia-mihai-gazcue","necesita imagen",""
"175","Amalia Polleri","1909-1996","4","amalia-polleri","necesita imagen",""
"176","Andrés Montani","1918-2002","4","andres-montani","necesita imagen",""
"177","Angel Ricardo Scagliola","1918-","4","angel-ricardo-scagliola","necesita imagen",""
"178","Asger Jorn","1914-1973","4","asger-jorn","necesita imagen",""
